genes,mod_types,rmgm_id,reference_pubmed1
PBANKA_1359600,disrupted,1,Not published (yet)
PBANKA_1359700,disrupted,1,20386715
PBANKA_1359700,disrupted,1,20386715
PBANKA_1359700,disrupted,1,20386715
PBANKA_1359600,disrupted,1,20386715
PBANKA_0306100,disrupted,1,20386715
PBANKA_0306000,disrupted,1,20386715
PBANKA_0306000,disrupted,1,Not published (yet)
PBANKA_1002100,disrupted,1,20386715
PBANKA_1107600,disrupted,1,20386715
PBANKA_1008200,mutated,1,19940133
PBANKA_1301300,disrupted,1,20169188
PBANKA_1301300,disrupted,1,20169188
PBANKA_1217700,disrupted,1,20169188
PBANKA_1218100,disrupted,1,18248630
PBANKA_0305100,disrupted,1,20039882
PBANKA_0305000,disrupted,1,20039882
PBANKA_0305000,disrupted,1,20039882
PBANKA_0305100,disrupted,1,20039882
PY17X_1210000,disrupted,1,20045029
PY17X_1210000,disrupted,1,20045029
PBANKA_1206800,disrupted,1,20045029
PY17X_0925800,disrupted,1,20059687
PY17X_0715100,disrupted,1,20059687
PY17X_0925800,disrupted,1,20059687
PY17X_0715100,disrupted,1,20059687
PBANKA_1114900,disrupted,1,20709789
PBANKA_1017100,disrupted,1,17583362
PBANKA_1105100,disrupted,1,17583362
PBANKA_0930200,disrupted,1,17583362
PBANKA_0208000,disrupted,1,20083609
PBANKA_0208000,mutated,1,20083609
PBANKA_1360100,disrupted,1,20088947
PBANKA_1103100,disrupted,1,15975905
PBANKA_0833000,disrupted,1,19000816
PBANKA_0302500,disrupted,1,20132450
PBANKA_0409400,disrupted,1,20227415
PY17X_0502200,mutated,1,20228203
PBANKA_1329800,disrupted,1,20025671
PBANKA_0905900,mutated,1,20025671
PBANKA_1137500,disrupted,1,20529666
PBANKA_1023400,disrupted,1,20573956
PBANKA_1023400,disrupted,1,20573956
PY17X_1468100,disrupted,1,21379566
PBANKA_1002600,disrupted,1,21418605
PBANKA_1302300,disrupted,1,21418605
PBANKA_0205800,disrupted,1,20584882
PBANKA_1126900,disrupted,1,20584882
PBANKA_0701900,disrupted,1,22184632
PBANKA_1308200,disrupted,1,22184632
PBANKA_0305900,disrupted,1,22184632
PBANKA_0519300,disrupted,1,22184632
PBANKA_0524300,disrupted,1,22184632
PBANKA_0836800,disrupted,1,22184632
PBANKA_1401500,disrupted,1,22184632
PBANKA_1409000,disrupted,1,22184632
PBANKA_1038700,disrupted,1,22184632
PBANKA_0316600,disrupted,1,22184632
PBANKA_0905800,disrupted,1,22184632
PBANKA_1033100,disrupted,1,22184632
PBANKA_1107800,disrupted,1,22184632
PBANKA_1312700,disrupted,1,22184632
PBANKA_1331100,disrupted,1,22184632
PBANKA_0700700,disrupted,1,22184632
PBANKA_1430700,disrupted,1,22184632
PBANKA_0401500,disrupted,1,22184632
PBANKA_0701100,disrupted,1,22184632
PBANKA_0406200,disrupted,1,22184632
